hash_id,source_name,title,url,url_to_image,content,published_at_source
1da392f159df884901c6a757a20edc27,Github.com,iSponsorBlockTV v2: SponsorBlock for TVs and game consoles,https://github.com/dmunozv04/iSponsorBlockTV,https://opengraph.githubassets.com/f298c53e4be4a4911c3c0039435165a2fba1f9ddc73e2ae0ff8d852877c489df/dmunozv04/iSponsorBlockTV,"Skip sponsor segments in YouTube videos playing on a YouTube TV device (see below for compatibility details).
This project is written in asynchronous python and should be pretty quick.
Check the wi… [+1469 chars]",2023-10-13T18:19:38Z
49b2685f0b8132fb3bc0e9c651eb6504,Sneak.berlin,Apple OSes Are Insecure by Design to Aid Surveillance,https://sneak.berlin/20231005/apple-operating-system-surveillance/,,"I have a theory that I believe is supported by enough evidence for you to believe it, as well.
Mind you, this is definitionally a conspiracy theory; please dont let the connotations of that phrase b… [+12607 chars]",2023-10-13T20:39:07Z
8e462b9eff8fa89ba55881a4be1ad683,Laptop Mag,Apple's iPhone 15 Pro Max is a disaster:Screen burn-in latest of reported issues,https://www.laptopmag.com/phones/iphone/apples-iphone-15-pro-max-is-a-disaster-screen-burn-in-latest-of-reported-issues,https://cdn.mos.cms.futurecdn.net/vEsSZcvN7EPxwsLZm5sjCV-1200-80.jpg,"Apple’s iPhone 15 Pro Max was supposed to take the world by storm with its new tetraprism lens, actions button, titanium frame, and A17 Pro chipset. However, having been plagued by overheating issues… [+2099 chars]",2023-10-14T21:17:15Z
f817e67d89b4d3b99db809da90f43db2,Atariarchives.org,Cottage Computer Programming (2003?),https://www.atariarchives.org/deli/cottage_computer_programming.php,,"COTTAGECOMPUTERPROGRAMMINGby Paul Lutus
Paul Lutus dropped out of the NASA
rat race to live on a mountaintop for $40 a month.Then he wrote the most popular word
processing program for personal com… [+11543 chars]",2023-10-14T13:16:17Z
0a6b7684ecbf581274233610950a07d7,The Drive,"New Entry-Level Lucid Air Pure RWD Starts at $78,675, Still with 410-Mile Range",https://www.thedrive.com/news/new-entry-level-lucid-air-pure-rwd-starts-at-78675-still-offers-410-mile-range#article,https://www.thedrive.com/uploads/2023/10/05/lucid-air-pure-1.jpg?auto=webp,"Lucid just released its most affordable model yet, one that the California-based EV maker hopes will start to increase its sales volume: the Lucid Air Pure RWD. With a starting price of $78,675 (afte… [+2152 chars]",2023-10-12T14:47:47Z
a24ed812e6091b803cdebea9209827b8,Dadgum.com,Write Code Like You Just Learned How to Program,https://prog21.dadgum.com/87.html,,"Write Code Like You Just Learned How to Program
I'm reading Do More Faster, which is more than a bit of an advertisement for the TechStars start-up incubator, but it's a good read nonetheless. What … [+2770 chars]",2023-10-14T01:54:53Z
d1b9c9875d048da1c3ca1be2ba394354,Ian-leslie.com,The Banality of Genius: Notes on Peter Jackson's Get Back (2022),https://www.ian-leslie.com/p/the-banality-of-genius-notes-on-peter,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fbucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com%2Fpublic%2Fimages%2Fc9184442-449f-4ce1-ae58-d578d2b65eab_930x558.jpeg","(Ruffians: I warn you this is quite long. You may have to click at the bottom of the email to access the whole thing).
A friend of mine, a screenwriter in New York, believes Get Back has a catalytic… [+41336 chars]",2023-10-14T14:21:38Z
1f5150a7dcc19a92d4c6fb64dcecb8b1,Dannb.org,Kagi finally let me lay Google Search to rest,https://dannb.org/blog/2023/how-kagi-beats-google/,https://dannb.org/images/blog/2023/09/kagi-search-beats-google-og.jpg,"I’m a Kagi convert, having switched from Google Search in July of 2022 and never looking back. I’m also a vocal supporter of Kagi, frequently mentioning it in my newsletter and encouraging people to … [+14586 chars]",2023-10-12T00:34:42Z
92b21eb8533586c542d066402abf3a6f,Mprove.de,The Interface of Kai Krause's Software,https://mprove.de/script/99/kai/,https://mprove.de/script/99/kai/_media/high/Soap.jpg,"Meta-History
CV
Kai Krause [today: kai.sub.blue]was born 1957 in Dortmund. He came to California in 1976 with two friends. He worked as a musician for Disney Sound Effects; the sound track for Star… [+16873 chars]",2023-10-13T09:10:51Z
18b1c51bb336c999ae99702f6e6ae229,Substack.com,The Midwit Smart Home,https://dynomight.substack.com/p/midwit-home,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fa505d5ab-5fd6-43d1-9fe0-ef4a22042c27_1440x900.jpeg","Reading a book one night, you decide to turn on the lights. And suddenly its obvious. Hauling your body across the room just to flip a switch is absurd. So you decide to get smart lights. Two hours l… [+17094 chars]",2023-10-12T16:31:17Z
